Supplier,Item Code,Item Description,Type,Tag,Order Number,Order Status,PO Status,Ordered Qty,Fulfilled Qty,Ordered Date,Received Date,Fulfillment Date,Days to Fill
GRAPES OF SPAIN INC,309071,RIOS DE TINTA - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,1,04/22/2020,04/23/2020,04/24/2020,2
LEGENDS LTD,69029,LAGUNITAS HAZY MEMORY 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/21/2020,13
DC BRAU BREWING LLC,68887,DC BRAU FULL TRANSPARENCY POG 4/6 CANS,BEER,SB,178#####,BOOKED,OPEN,1,,04/26/2020,04/28/2020,,
LEGENDS LTD,69493,AUSTIN SELTZER VARIETY 2/12 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/07/2020,04/08/2020,5
"THE COUNTRY VINTNER, LLC DBA WINEBOW",433947,TOUZOT MACON VIL - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/02/2020,04/06/2020,04/08/2020,6
SURVILLE ENTERPRISES CORP,300634,VEUVE DU VERNAY BRUT - 750ML,WINE,S,177#####,BOOKED,OPEN,1,,04/15/2020,,,
DIONYSOS IMPORTS INC,313989,CORTE ADAMI VAL SUP - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/16/2020,04/20/2020,04/16/2020,0
IMPERO WINE DISTRIBUTORS VIRGINIA INC,62541,TINAZZI RIPASSO SUPERIORE 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/28/2020,04/29/2020,7
"THE COUNTRY VINTNER, LLC DBA WINEBOW",334541,MERLIN-CHERRIER SANCERRE - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/20/2020,04/27/2020,04/28/2020,8
ROYAL WINE CORP,162531,KEDEM CREAM MALAGA - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,,04/13/2020,,,
BUCK DISTRIBUTING COMPANY INC,69609,RECKLESS CASCADE FALLS IPA 4/6 CANS,BEER,SB,178#####,BOOKED,OPEN,1,,04/27/2020,04/29/2020,,
REPUBLIC NATIONAL DISTRIBUTING CO,355790,STELLA ROSA WATERMELON - 750ML,WINE,SC,177#####,CLOSED,OPEN,1,1,04/09/2020,04/14/2020,04/17/2020,8
LEGENDS LTD,50420,CAPTAIN LAWRENCE 6TH BORO PILSNER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/09/2020,04/14/2020,04/15/2020,6
DOPS INC,409677,DRY CREEK S/BLC - 750ML,WINE,S,178#####,BOOKED,,1,,04/29/2020,,,
BUCK DISTRIBUTING COMPANY INC,69592,STONE BUENAVEZA LAGER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/15/2020,04/22/2020,04/23/2020,8
NEXTERRA WINE COMPANY,64000,COOPER'S HAWK CAB SAUV 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/14/2020,04/16/2020,04/22/2020,8
LANTERNA DISTRIBUTORS INC,335578,LAGO VIN VERDE - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/13/2020,04/14/2020,04/16/2020,3
DMV DISTRIBUTING LLC,235576,LES ALLIES GRENACHE ROSE - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/15/2020,04/16/2020,04/22/2020,7
TROEGS BREWING COMPANY,69290,TROEGS HAZE CHARMER 4/6 CANS,BEER,SB,178#####,BOOKED,,2,,04/27/2020,,,
BUCK DISTRIBUTING COMPANY INC,69245,STONE NEVERENDING HAZE 2/12 CANS,BEER,SB,178#####,BOOKED,,1,,04/28/2020,,,
BASQUE BAR LLC,69498,ANXO DISTRICT KOSHER 6/4 CANS,BEER,SB,177#####,BOOKED,OPEN,1,1,04/02/2020,04/08/2020,04/10/2020,8
ATLAS BREW WORKS LLC,60392,ATLAS BLOOD ORANGE GOSE 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/08/2020,04/09/2020,6
FREE RUN WINE MERCHANTS LLC,334978,FOSSIL POINT CHARD 12 - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/20/2020,04/22/2020,14
INTERBALT PRODUCTS CORP,348035,A LE COQ ALEXANDER 500 ML,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/20/2020,04/21/2020,04/23/2020,3
WI INC,63904,LUNA NUDA ROSE 750ML,WINE,LS,178#####,BOOKED,,1,,04/29/2020,,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",45218,MARS & VENUS MER - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/13/2020,04/20/2020,04/22/2020,9
INTERBALT PRODUCTS CORP,355808,LES COLLINES MEDOC - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/15/2020,04/21/2020,04/23/2020,8
THE HESS COLLECTION,85526,HESS SELECT TREO - 750ML,WINE,SC,178#####,BOOKED,OPEN,4,,04/27/2020,,,
ARTISANS & VINES LLC,353138,LA FONT DU LOUP CDR ROUGE - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/16/2020,7
LEGENDS LTD,62984,TWO ROADS LI'L HEAVEN 4/6 CANS,BEER,SB,177#####,BOOKED,OPEN,3,3,04/14/2020,04/21/2020,04/23/2020,9
INTERBALT PRODUCTS CORP,336536,CH MAYNE TURON RED BORD - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/14/2020,04/24/2020,11
DC BRAU BREWING LLC,26642,DC BRAU THE CITIZEN BELGIAN-STYLE PALE 4/6 CANS,BEER,SB,177#####,CLOSED,OPEN,3,3,04/22/2020,04/28/2020,04/30/2020,8
BROWN-FORMAN BEVERAGES WORLDWIDE,1008,JACK DANIELS COUNTRY COCKTAIL SOUTHERN PEACH - 10.OZ-NR,BEER,SB,178#####,BOOKED,,1,,04/29/2020,,,
SOUTHERN GLAZERS WINE AND SPIRITS,237148,BERONIA RIOJA CRIANZA - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/03/2020,04/07/2020,04/10/2020,7
"THE COUNTRY VINTNER, LLC DBA WINEBOW",111708,DR PAULY BERG NOBLE HOUSE RIES - 750ML,WINE,S,178#####,BOOKED,,1,,04/26/2020,,,
BACKUP BEVERAGE,68311,GREAT LAKES VARIETY PACK 2/12 NR,BEER,SB,177#####,CLOSED,CLOSED,3,3,04/03/2020,04/09/2020,04/14/2020,11
RELIABLE CHURCHILL LLLP,300574,BOORDY CHAMBOURCIN MER MALLARDS - 750ML,WINE,S,178#####,BOOKED,,1,,04/29/2020,,,
BACKUP BEVERAGE,25332,SCHLAFLY RASPBERRY HEFE 4/6 NR,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/14/2020,04/16/2020,04/21/2020,7
LEGENDS LTD,22981,LAGUNITAS PALE 4/6 NR - 12OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/17/2020,9
BUCK DISTRIBUTING COMPANY INC,69592,STONE BUENAVEZA LAGER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/15/2020,04/22/2020,04/28/2020,13
SOUTHERN GLAZERS WINE AND SPIRITS,236218,HOUSE WINE P/NOIR CAN - 355ML,WINE,LS,178#####,BOOKED,,1,,05/01/2020,,,
LEGENDS LTD,63605,CIGAR CITY VARIETY PACK 2/12 CANS,BEER,SB,178#####,BOOKED,,1,,04/28/2020,,,
BANVILLE & JONES WINE MERCHANTS,427413,TERLANO P/GRIG - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/24/2020,04/27/2020,04/30/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",350406,LAURENT PERRIER LA CUVEE BRUT - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/10/2020,04/13/2020,04/15/2020,5
LEGENDS LTD,63370,DOWN EAST CIDERS ORIGINAL BLEND 6/4 CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/19/2020,04/28/2020,04/30/2020,11
OPICI FAMILY DISTRIBUTING OF MD,339645,REATA P/NOIR - 750,WINE,LS,177#####,CLOSED,OPEN,1,1,04/07/2020,04/15/2020,04/22/2020,15
CONSTANTINE WINES INC,303058,PACIFIC REDWOOD ORGANIC RED - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/22/2020,13
BARON FRANCOIS LTD,432822,PINARDIERE TRAD MUSCADET - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,,04/17/2020,,,
REPUBLIC NATIONAL DISTRIBUTING CO,37761,CLOS DU BOIS RES CHARD - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/15/2020,04/17/2020,04/21/2020,6
MONSIEUR TOUTON SELECTION,334957,LAVENDETTE ROSE DE PROV - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/16/2020,7
LEGENDS LTD,69029,LAGUNITAS HAZY MEMORY 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,OPEN,2,2,04/16/2020,04/21/2020,04/24/2020,8
REPUBLIC NATIONAL DISTRIBUTING CO,335644,CUL DE SAC MOSCATO - 750ML,WINE,LS,177#####,BOOKED,OPEN,2,2,04/08/2020,04/10/2020,04/16/2020,8
MONSIEUR TOUTON SELECTION,239148,MAPRECO RED BLEND - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/10/2020,04/14/2020,04/21/2020,11
LEGENDS LTD,50026,LEFT HAND MOUNTAIN MIXER 2/12 12OZ CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/20/2020,04/28/2020,04/29/2020,9
SOUTHERN GLAZERS WINE AND SPIRITS,417375,TWO OCEANS SHZ - 1.5L,WINE,S,178#####,BOOKED,OPEN,1,,04/28/2020,04/30/2020,,
THREE STARS BREWING COMPANY LLC,69589,3 STARS / UNION HOPPING UP HEAVENS 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/15/2020,04/21/2020,12
MONSIEUR TOUTON SELECTION,235564,BODEGA TORO CENTENARIO MALBEC - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/15/2020,7
PUNTO VINO LLC,236670,ZONTA MERLOT BERGANZE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/13/2020,04/21/2020,04/23/2020,10
BANFI PRODUCTS CORP,71951,WALNUT CREST RAPEL CAB - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,,04/14/2020,,,
PRESTIGE BEVERAGE GROUP OF MD LLC,308146,GILGAL CAB - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/06/2020,04/10/2020,04/24/2020,18
CONSTANTINE WINES INC,351664,VINALBA MALBEC - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/16/2020,04/20/2020,04/22/2020,6
LEGENDS LTD,69607,SOUTHERN TIER TROPICAL BLAZE 6/4 NR,BEER,SB,177#####,CLOSED,OPEN,1,1,04/17/2020,04/21/2020,04/23/2020,6
A I G WINE & SPIRITS,120200,DOM DES FONTANELLE S/BLC - 750ML,WINE,S,177#####,BOOKED,OPEN,1,,04/15/2020,,,
MACK & SCHUHLE INC,63368,SANTODENO SANGIOVESE APPASSIMENTO 750ML,WINE,LS,178#####,BOOKED,,1,,04/27/2020,,,
REPUBLIC NATIONAL DISTRIBUTING CO,338837,PEBBLE LANE CAB - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/01/2020,04/03/2020,04/08/2020,7
SOUTHERN GLAZERS WINE AND SPIRITS,424374,BULLY HILL SWEET WALTER RSE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/14/2020,04/17/2020,9
LUNEAU USA INC,69052,MAISON CASTEL BORDEAUX MERLOT 750ML,WINE,LS,178#####,BOOKED,,2,,04/30/2020,,,
LEGENDS LTD,28839,ANDECHS VOLLBIER HELL 20/16.9 OZ NR,BEER,SB,177#####,CLOSED,OPEN,1,1,04/13/2020,04/21/2020,04/22/2020,9
COMETE WINES LLC,355908,LAS LILAS VINHO VERDE - 750ML,WINE,LS,178#####,BOOKED,,1,,04/24/2020,,,
STEFANO INCORPORATED,326336,LA FERLA INZOLIA - 750ML,WINE,S,177#####,BOOKED,,1,,04/21/2020,,,
BACKUP BEVERAGE,347275,REKORDERLIG STRAWBERRY LIME CIDER - 11.2OZ CAN,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/09/2020,04/16/2020,13
KYSELA PERE ET FILS LTD,41010,LIMA VINHO VERDE ROSE - 750ML,WINE,S,177#####,CLOSED,OPEN,3,3,04/13/2020,04/14/2020,04/15/2020,2
CONSTANTINE WINES INC,336085,CASAL GARCIA VINHO VERDE - 1L,WINE,SC,178#####,BOOKED,,3,,04/29/2020,,,
SOUTHERN GLAZERS WINE AND SPIRITS,236218,HOUSE WINE P/NOIR CAN - 355ML,WINE,LS,178#####,BOOKED,OPEN,2,,04/28/2020,04/30/2020,,
LEGENDS LTD,69028,FLYING FISH HAZY BONES 4/6 CAN,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
SOUTHERN GLAZERS WINE AND SPIRITS,239576,CALLAWAY CELL SEL CAB - 750ML,WINE,LS,178#####,BOOKED,,1,,04/30/2020,,,
BASQUE BAR LLC,68392,ANXO COMMONWEALTH 6/4 CANS,BEER,SB,177#####,BOOKED,OPEN,3,,04/15/2020,04/22/2020,,
YOUNG WON TRADING INC,322810,SHO CHUKU BAI MIO SPARK SAKE - 300ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/19/2020,04/21/2020,04/22/2020,3
GRAPES OF SPAIN INC,233220,CYGNUS BRUT CAVA ORG - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/16/2020,04/17/2020,04/22/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",341456,FAULT LINE MARLBOROUGH S/BLC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/06/2020,04/13/2020,04/22/2020,16
LANTERNA DISTRIBUTORS INC,307328,BLISS ZIN - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/13/2020,04/14/2020,04/16/2020,3
BUCK DISTRIBUTING COMPANY INC,25558,FAMOSA NR - 1L,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/12/2020,04/15/2020,04/16/2020,4
AREL GROUP WINE & SPIRITS,237364,CARLETTO MANGO MOSCATO - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/07/2020,04/16/2020,04/22/2020,15
BACKUP BEVERAGE,12894,REKORDERLIG WILDBERRY CN - 11.2OZ,BEER,SB,178#####,BOOKED,OPEN,2,,04/28/2020,04/30/2020,,
ALLAGASH BREWING COMPANY,69491,ALLAGASH CROSSPATH 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/01/2020,04/08/2020,04/15/2020,14
DIONYSOS IMPORTS INC,336303,LA JARA SPK BRUT ROSE ORG - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/03/2020,04/06/2020,04/08/2020,5
LEGENDS LTD,30251,XINGU GOLD 4/6 NR,BEER,SB,177#####,CLOSED,OPEN,1,1,04/16/2020,04/21/2020,04/22/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",302562,MAN VINTNERS S/BLC - 750ML,WINE,SC,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/29/2020,6
LEGENDS LTD,63526,AUSTIN ROSE CIDER 4/6 CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/16/2020,04/21/2020,04/23/2020,7
REPUBLIC NATIONAL DISTRIBUTING CO,355596,MASSERIA SURANI ARES RED BLEND - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/23/2020,04/30/2020,8
LEGENDS LTD,60156,TWO ROADS PASSIONFRUIT GOSE 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/14/2020,04/21/2020,04/23/2020,9
CONSTANTINE WINES INC,303058,PACIFIC REDWOOD ORGANIC RED - 750ML,WINE,S,177#####,CLOSED,CLOSED,2,2,04/09/2020,04/13/2020,04/16/2020,7
REPUBLIC NATIONAL DISTRIBUTING CO,383813,RECANATI MER - 750ML,WINE,S,178#####,BOOKED,OPEN,1,1,04/26/2020,04/28/2020,05/01/2020,5
YOUNG WON TRADING INC,39993,CHOYA JAPANESE PLUM WINE W/PLUM - 500ML,WINE,SC,177#####,CLOSED,OPEN,1,1,04/05/2020,04/14/2020,04/15/2020,10
LEGENDS LTD,99753,DUTCHESS DE BOURGOGNE NR - 750ML,BEER,SB,178#####,BOOKED,,1,,04/27/2020,,,
NEXTERRA WINE COMPANY,64005,COOPER'S HAWK WINTER RED 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/07/2020,04/10/2020,04/13/2020,6
SOUTHERN GLAZERS WINE AND SPIRITS,236062,POMPITA SANGRIA SUP WHITE - 500ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/24/2020,04/28/2020,05/01/2020,7
DOPS INC,186635,PEDRONCELLI THREE VLY CAB - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/08/2020,04/13/2020,04/15/2020,7
ARTISANS & VINES LLC,350966,DOM DU MONT EPIN MACON PERONNE - 750ML,WINE,LS,178#####,CLOSED,CLOSED,1,1,04/24/2020,04/27/2020,04/29/2020,5
LEGENDS LTD,24487,SOUTHERN TIER 2X IPA 4/6 NR - 12OZ,BEER,SB,177#####,CLOSED,OPEN,1,1,04/14/2020,04/21/2020,04/23/2020,9
BACKUP BEVERAGE,12894,REKORDERLIG WILDBERRY CN - 11.2OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/09/2020,04/14/2020,11
LEGENDS LTD,69522,LAGUNITAS HAZY WONDER 4/6 CANS,BEER,SB,178#####,CLOSED,OPEN,1,1,04/23/2020,04/28/2020,05/01/2020,8
BACCHUS IMPORTERS LTD,236960,CORTEFRESCA PROSECCO BRUT SPARK - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/13/2020,04/20/2020,04/22/2020,9
LANTERNA DISTRIBUTORS INC,310355,DOM DES HERBAUGES GROLLEAU GRIS - 750ML,WINE,LS,177#####,CLOSED,OPEN,3,3,04/13/2020,04/14/2020,04/16/2020,3
BACKUP BEVERAGE,347273,REKORDERLIG PEAR CIDER - 11.2OZ CAN,BEER,SB,178#####,CLOSED,OPEN,1,1,04/28/2020,04/30/2020,05/01/2020,3
REPUBLIC NATIONAL DISTRIBUTING CO,69345,EGRI BIKAVER - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/06/2020,04/07/2020,04/10/2020,4
GRAPES OF SPAIN INC,341022,VINA OTANO VIURA 14 - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/10/2020,04/15/2020,6
LEGENDS LTD,62491,CIGAR CITY MADURO 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/02/2020,04/07/2020,04/08/2020,6
LEGENDS LTD,12537,SOUTHERN TIER OVERPACK'D - 12.OZ,BEER,SB,178#####,BOOKED,,3,,04/28/2020,,,
LEGENDS LTD,69547,KENTUCKY ORIGINAL HARD TEA 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/17/2020,9
KYSELA PERE ET FILS LTD,305195,DOM LA SALETTE GASCOGNE - 750ML,WINE,S,177#####,CLOSED,OPEN,2,2,04/10/2020,04/14/2020,04/15/2020,5
BACKUP BEVERAGE,68305,GREAT LAKES EDMUND FITZGERALD 4/6 NR,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/14/2020,04/16/2020,04/22/2020,8
LEGENDS LTD,8281,BITBURGER 4/6 CANS - 16.9OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/07/2020,04/09/2020,7
PLUME RIDGE IRREVOCABLE TRUST,350562,ISLAND TIDE SAUVIGNON BLANC - 750ML,WINE,S,177#####,BOOKED,,1,,04/20/2020,,,
DC BRAU BREWING LLC,26647,DC BRAU EL HEFE SPKS GERM WHEA 4/6 CANS - 12OZ,BEER,SB,177#####,CLOSED,OPEN,1,1,04/15/2020,04/22/2020,04/24/2020,9
LEGENDS LTD,63357,LAGUNITAS IPA 12/19.2OZ CANS,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",428096,BARNARD GRIFFIN SANG RSE - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/13/2020,04/20/2020,04/23/2020,10
LEGENDS LTD,99730,ERDINGER WEISS NR 12/CS - 16.9OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/16/2020,7
"THE COUNTRY VINTNER, LLC DBA WINEBOW",168750,CITRA MONT D'ABRU - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/16/2020,04/20/2020,04/22/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",89927,ROOT 1 CAB - 750ML,WINE,SC,178#####,BOOKED,,1,,04/29/2020,,,
DIONYSOS IMPORTS INC,343366,CARTA VIEJA CHARD - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/10/2020,04/13/2020,04/15/2020,5
DIONYSOS IMPORTS INC,326211,SANTA IRENE MAL ORGANIC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/15/2020,04/20/2020,04/22/2020,7
LANTERNA DISTRIBUTORS INC,353374,CH GRAND PORTAIL BLANC - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/13/2020,04/14/2020,04/16/2020,3
SOUTHERN GLAZERS WINE AND SPIRITS,18856,FRESCOBALDI CASTIGLIONI CHN - 750ML,WINE,SC,178#####,BOOKED,,1,,04/30/2020,,,
LEGENDS LTD,99753,DUTCHESS DE BOURGOGNE NR - 750ML,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/07/2020,04/10/2020,8
DIONYSOS IMPORTS INC,439983,SIETEFINCAS MAL - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/10/2020,04/13/2020,04/15/2020,5
REPUBLIC NATIONAL DISTRIBUTING CO,339894,NATURA P/NOIR - 750ML,WINE,LS,177#####,BOOKED,OPEN,2,2,04/15/2020,04/17/2020,04/22/2020,7
O'NEILL BEVERAGES CO LLC,350600,EXITUS BOURBON BARREL RED - 750ML,WINE,SC,177#####,BOOKED,CLOSED,1,1,04/05/2020,04/29/2020,04/30/2020,25
VICTORY BREWING COMPANY LLC,68827,VICTORY CLOUD WALKER HAZY IPA 6/4 16OZ CANS,BEER,SB,177#####,BOOKED,OPEN,1,,04/08/2020,,,
LEGENDS LTD,62773,ACE CIDER BERRY ROSE 4/6 NR,BEER,SB,177#####,CLOSED,OPEN,1,1,04/19/2020,04/28/2020,04/30/2020,11
LEGENDS LTD,29010,FIRESTONE UNION JACK IPA 4/6 12.OZ CAN,BEER,SB,177#####,BOOKED,,1,1,04/14/2020,,04/16/2020,2
YOUNG WON TRADING INC,414514,50 SE JU - 330ML,WINE,LS,177#####,BOOKED,OPEN,2,2,04/11/2020,04/14/2020,04/16/2020,5
LEGENDS LTD,26831,DUVEL TRIPLE HOP 6/4NR - 11.2OZ,BEER,SB,178#####,BOOKED,,1,,04/28/2020,,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",432415,HEINZ EIFEL RIES SPAT - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/09/2020,04/13/2020,04/16/2020,7
INTERNATIONAL CELLARS LLC,312140,MUREDA MER - 750ML,WINE,LS,177#####,BOOKED,OPEN,3,3,04/07/2020,04/14/2020,04/17/2020,10
FREE RUN WINE MERCHANTS LLC,334988,EOLA HILLS P/NOIR 13 - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/07/2020,04/08/2020,04/09/2020,2
LEGENDS LTD,69546,KENTUCKY HALF AND HALF HARD TEAD 4/6 CANS,BEER,SB,177#####,BOOKED,CLOSED,1,1,04/08/2020,04/14/2020,04/21/2020,13
LANTERNA DISTRIBUTORS INC,337026,HUSCH GEWURZTRAMINER - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/27/2020,04/28/2020,04/30/2020,3
LUNEAU USA INC,69563,CHATEAU GENAS BORDEAUX 750ML,WINE,LS,177#####,BOOKED,OPEN,1,,04/12/2020,04/30/2020,,
OPICI FAMILY DISTRIBUTING OF MD,355552,BREAD & BUTTER SAUVIGNON BLANC - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/09/2020,04/15/2020,04/17/2020,8
CONSTANTINE WINES INC,349706,PORTLANDIA PINOT NOIR - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/20/2020,04/21/2020,8
SAN ANTONIO WINERY INC,349462,STELLA ROSA BERRY - 750ML,WINE,SC,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/15/2020,04/24/2020,22
MONSIEUR TOUTON SELECTION,238376,LEWIS & CLARK MCNARY VYD HH HILLS CAB - 750ML,WINE,LS,178#####,BOOKED,,1,,04/28/2020,,,
GRAPES OF SPAIN INC,392820,LEVA DANIEL - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
LEGENDS LTD,347404,STILLWATER INSETTO - 12OZ CAN,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
GRAPES OF SPAIN INC,236252,CASA LA RAD SOLARCE BLANCO RIOJA - 750ML,WINE,LS,177#####,BOOKED,CLOSED,1,1,04/02/2020,04/03/2020,04/08/2020,6
RELIABLE CHURCHILL LLLP,94862,ROCHEFORT 10  NR 12/CS - 11.2OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/21/2020,04/22/2020,9
IMPERO WINE DISTRIBUTORS,63585,REMANSO MALBEC 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/27/2020,04/28/2020,05/01/2020,4
LANTERNA DISTRIBUTORS INC,366323,ITALO CESCON TRALCETTO P/GRIG - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/01/2020,04/07/2020,04/08/2020,7
REPUBLIC NATIONAL DISTRIBUTING CO,338832,PEBBLE LANE P/NOIR - 750ML,WINE,S,177#####,CLOSED,OPEN,2,2,04/01/2020,04/03/2020,04/08/2020,7
REPUBLIC NATIONAL DISTRIBUTING CO,42764,LINGANORE SANG - 750ML,WINE,S,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
OPICI FAMILY DISTRIBUTING OF MD,339704,CARPINETO CHIANTI RS - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/06/2020,04/07/2020,04/08/2020,2
SOUTHERN GLAZERS WINE AND SPIRITS,312520,GRUET BDB EX/DRY - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/06/2020,04/09/2020,04/15/2020,9
LEGENDS LTD,42803,AUSTIN WATERMELON CIDER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/07/2020,04/14/2020,12
PIPE CREEK WINES LLC,350196,CHATEAU BEAUCHENE VIOGNIER,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/10/2020,04/15/2020,6
SUTTER HOME WINERY INC,83801,SUTTER HOME ZIN - 1.5L,WINE,SC,177#####,BOOKED,,1,,04/07/2020,,,
PUNTO VINO LLC,236812,STEININGER YOUNG SPARK ROSE - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/13/2020,04/14/2020,04/17/2020,4
