School Code,Borough Name,DOB#,Inspection Category,Inspection Date,Date Requested,Request Status Description
PS004M,MANHATTAN,,ARCHITECTURAL,04/14/2020 08:00:00 AM,03/25/2020 12:31:40 AM,CANCELLED
PS005M,MANHATTAN,103641276,LOWVOLTAGE,04/18/2020 09:00:00 AM,02/28/2020 03:33:53 PM,CANCELLED
PS007X,BRONX,201201458,HVACSYSTEMSTESTING,04/09/2020 09:00:00 AM,04/06/2020 04:46:31 PM,COMPLETED
PS009Q,QUEENS,402887916,MASONRY,04/07/2020 07:00:00 AM,04/06/2020 10:55:46 AM,COMPLETED
PS009Q,QUEENS,402887916,MASONRY,04/14/2020 07:00:00 AM,04/09/2020 03:31:17 PM,COMPLETED
PS009Q,QUEENS,402887916,MASONRY,04/21/2020 07:00:00 AM,04/15/2020 11:39:02 AM,COMPLETED
PS009Q,QUEENS,402887916,MASONRY,04/28/2020 07:00:00 AM,04/20/2020 03:04:52 PM,COMPLETED
PS009X,BRONX,201192360,HVAC,04/03/2020 01:30:00 PM,03/31/2020 12:41:34 PM,COMPLETED
PS009X,BRONX,201192360,HVAC,04/14/2020 01:30:00 PM,04/10/2020 02:22:05 PM,COMPLETED
PS009X,BRONX,201192360,HVAC,04/28/2020 01:30:00 PM,04/27/2020 09:12:30 AM,COMPLETED
PS009X,BRONX,201192360,PLUMBING,04/02/2020 01:00:00 PM,04/02/2020 10:46:30 AM,COMPLETED
PS011M,MANHATTAN,103650201,MASONRY,04/02/2020 12:00:00 PM,03/18/2020 03:33:19 PM,CANCELLED
PS011M,MANHATTAN,103650201,MASONRY,04/07/2020 03:00:00 PM,03/18/2020 03:34:10 PM,CANCELLED
PS011M,MANHATTAN,103650201,MASONRY,04/16/2020 03:00:00 PM,03/18/2020 03:37:49 PM,CANCELLED
PS011M,MANHATTAN,103650201,MASONRY,04/23/2020 03:00:00 PM,03/18/2020 03:39:07 PM,CANCELLED
PS011M,MANHATTAN,103650201,MASONRY,04/30/2020 03:00:00 PM,03/18/2020 03:41:19 PM,CANCELLED
PS011Q,QUEENS,421098207,FINALCONSTRUCTION,04/02/2020 01:30:00 PM,03/30/2020 11:55:47 AM,SCHEDULED
PS011X,BRONX,201200459,ARCHITECTURAL,04/08/2020 09:00:00 AM,04/07/2020 10:06:24 AM,CANCELLED
PS011X,BRONX,201200459,ARCHITECTURAL,04/09/2020 08:00:00 AM,04/07/2020 10:46:26 AM,CANCELLED
PS012X,BRONX,200957296,FINALCONSTRUCTION,04/10/2020 09:00:00 AM,04/08/2020 09:09:33 AM,COMPLETED
PS012X,BRONX,201200903,ARCHITECTURAL,04/02/2020 08:00:00 AM,03/20/2020 11:47:31 AM,CANCELLED
PS012X,BRONX,201200903,MASONRY,04/01/2020 10:00:00 AM,03/31/2020 02:46:13 PM,COMPLETED
PS012X,BRONX,201200903,MASONRY,04/07/2020 07:00:00 AM,04/06/2020 09:10:30 AM,COMPLETED
PS012X,BRONX,201200903,MASONRY,04/14/2020 07:00:00 AM,04/09/2020 09:40:40 AM,COMPLETED
PS012X,BRONX,201200903,MASONRY,04/21/2020 07:00:00 AM,04/16/2020 03:28:57 PM,COMPLETED
PS012X,BRONX,201200903,MASONRY,04/28/2020 07:00:00 AM,04/21/2020 03:26:35 PM,COMPLETED
PS012X,BRONX,201200903,WINDOW,04/01/2020 10:00:00 AM,03/27/2020 01:05:09 PM,CANCELLED
PS013Q,QUEENS,,POWERANDLIGHTING,04/24/2020 09:00:00 AM,04/22/2020 06:20:22 PM,COMPLETED
PS014Q,QUEENS,,POWERANDLIGHTING,04/03/2020 01:00:00 PM,03/24/2020 03:48:37 PM,CANCELLED
PS014Q,QUEENS,,POWERANDLIGHTING,04/08/2020 10:00:00 AM,03/31/2020 04:15:11 PM,OPEN
PS014X,BRONX,201195786,PLUMBING,04/28/2020 07:30:00 AM,04/28/2020 07:10:41 AM,COMPLETED
PS014X,BRONX,201195795,ARCHITECTURAL,04/28/2020 09:00:00 AM,04/27/2020 10:41:00 AM,OPEN
PS014X,BRONX,201195795,BOILER,04/28/2020 09:00:00 AM,04/27/2020 11:14:26 AM,OPEN
PS014X,BRONX,201195795,HVAC,04/28/2020 09:00:00 AM,04/27/2020 12:07:23 PM,CANCELLED
PS014X,BRONX,201195795,LOWVOLTAGE,04/28/2020 09:00:00 AM,04/27/2020 12:12:11 PM,OPEN
PS014X,BRONX,201195795,PLUMBING,04/06/2020 12:00:00 PM,04/06/2020 11:06:36 AM,CANCELLED
PS014X,BRONX,201195795,PLUMBINGSITE,04/06/2020 01:00:00 PM,04/06/2020 12:12:54 PM,COMPLETED
PS014X,BRONX,201195795,SPRINKLERSTANDPIPE,04/06/2020 01:30:00 PM,04/06/2020 12:17:51 PM,COMPLETED
PS014X,BRONX,201197819,ARCHITECTURAL,04/22/2020 11:00:00 AM,04/20/2020 08:22:42 AM,COMPLETED
PS014X,BRONX,201197819,FINALCONSTRUCTION,04/21/2020 05:00:00 PM,04/17/2020 04:19:55 PM,COMPLETED
PS014X,BRONX,201199559,HVAC,04/13/2020 01:30:00 PM,04/10/2020 07:24:26 AM,COMPLETED
PS014X,BRONX,201199559,HVAC,04/23/2020 09:00:00 AM,04/21/2020 12:10:59 PM,COMPLETED
PS014X,BRONX,201199559,MASONRY,04/01/2020 07:00:00 AM,03/31/2020 02:51:07 PM,COMPLETED
PS014X,BRONX,201199559,MASONRY,04/09/2020 10:00:00 AM,04/07/2020 09:25:47 AM,COMPLETED
PS014X,BRONX,201199559,MASONRY,04/16/2020 10:00:00 AM,04/09/2020 09:57:19 AM,COMPLETED
PS014X,BRONX,201199559,MASONRY,04/23/2020 10:00:00 AM,04/16/2020 03:59:13 PM,COMPLETED
