Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0199QQ1,2013.03,13133,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2014.03,13474,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2015.03,14263,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2016.03,15151,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2017.03,15892,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2018.03,16843,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199ZZ9,2000.03,105345,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2001.03,111634,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2002.03,119973,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2003.03,125607,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
