YEAR,Quarter,LocationAbbr,LocationDesc,TopicTypeDesc,TopicDesc,MeasureDesc,Private_Worksites,Restaurants,Bars,Type_Of_Restriction,SummaryAltValue,GeoLocation,TopicTypeId,TopicId,MeasureId
2005,4,ME,Maine,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Banned,Banned,100 % smokefree  in two locations,2,"(45.254228894000505, -68.98503133599962)",LEG,600,600COMB
2008,3,OK,Oklahoma,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Separate Ventilated Areas,None,"No Law, designated areas, or separate ventilation Law",0,"(35.47203135600046, -97.52107021399968)",LEG,600,600COMB
2019,1,MD,Maryland,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(39.29058096400047, -76.60926011099963)",LEG,600,600COMB
2012,2,MS,Mississippi,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(32.745510099000455, -89.53803082499968)",LEG,600,600COMB
2018,1,AL,Alabama,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,None,None,"No Law, designated areas, or separate ventilation Law",0,"(32.84057112200048, -86.63186076199969)",LEG,600,600COMB
2018,4,VA,Virginia,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,Separate Ventilated Areas,Separate Ventilated Areas,"No Law, designated areas, or separate ventilation Law",0,"(37.54268067400045, -78.45789046299967)",LEG,600,600COMB
2001,4,MT,Montana,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Designated Areas,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(47.06652897200047, -109.42442064499971)",LEG,600,600COMB
2006,3,MA,Massachusetts,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(42.27687047000046, -72.08269067499964)",LEG,600,600COMB
2013,2,CO,Colorado,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(38.843840757000464, -106.13361092099967)",LEG,600,600COMB
1995,4,PA,Pennsylvania,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Designated Areas,None,"No Law, designated areas, or separate ventilation Law",0,"(40.79373015200048, -77.86070029399963)",LEG,600,600COMB
2011,3,VT,Vermont,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(43.62538123900049, -72.51764079099962)",LEG,600,600COMB
2010,3,IA,Iowa,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(42.46940091300047, -93.81649055599968)",LEG,600,600COMB
2006,2,HI,Hawaii,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,Designated Areas,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(21.304850435000446, -157.85774940299973)",LEG,600,600COMB
2019,1,PW,Palau,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Designated Smoking Area,Designated Smoking Area,100 % smokefree in one location,1,"(7.514979999999999, 134.58251999999993)",LEG,600,600COMB
2017,3,IA,Iowa,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(42.46940091300047, -93.81649055599968)",LEG,600,600COMB
2001,4,NM,New Mexico,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(34.52088095200048, -106.24058098499967)",LEG,600,600COMB
2019,4,ME,Maine,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(45.254228894000505, -68.98503133599962)",LEG,600,600COMB
2018,1,AR,Arkansas,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Designated Areas,None,100 % smokefree in one location,1,"(34.74865012400045, -92.27449074299966)",LEG,600,600COMB
2019,3,ND,North Dakota,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(47.47531977900047, -100.11842104899966)",LEG,600,600COMB
2008,4,MN,Minnesota,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(46.35564873600049, -94.79420050299967)",LEG,600,600COMB
2012,3,ND,North Dakota,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Designated Areas,None,100 % smokefree in one location,1,"(47.47531977900047, -100.11842104899966)",LEG,600,600COMB
1999,4,MH,Marshall Islands,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(11.3246908, 166.84174239999993)",LEG,600,600COMB
2002,4,GA,Georgia,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(32.83968109300048, -83.62758034599966)",LEG,600,600COMB
2011,3,NC,North Carolina,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,Banned,Banned,100 % smokefree  in two locations,2,"(35.466220975000454, -79.15925046299964)",LEG,600,600COMB
2013,4,VT,Vermont,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(43.62538123900049, -72.51764079099962)",LEG,600,600COMB
2010,1,IN,Indiana,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,None,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(39.766910452000445, -86.14996019399968)",LEG,600,600COMB
2003,4,OR,Oregon,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Separate Ventilated Areas,Designated Areas,None,"No Law, designated areas, or separate ventilation Law",0,"(44.56744942400047, -120.15503132599969)",LEG,600,600COMB
2014,3,DC,District of Columbia,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(38.89037138500049, -77.03196112699965)",LEG,600,600COMB
1999,4,MO,Missouri,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Designated Areas,Designated Areas,"No Law, designated areas, or separate ventilation Law",0,"(38.635790776000476, -92.56630005299968)",LEG,600,600COMB
2011,3,UT,Utah,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(39.360700171000474, -111.58713063499971)",LEG,600,600COMB
2015,3,ID,Idaho,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Banned,None,100 % smokefree in one location,1,"(43.682630005000476, -114.3637300419997)",LEG,600,600COMB
2006,2,FL,Florida,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,None,100 % smokefree  in two locations,2,"(28.932040377000476, -81.92896053899966)",LEG,600,600COMB
2017,2,OR,Oregon,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(44.56744942400047, -120.15503132599969)",LEG,600,600COMB
2016,4,PW,Palau,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Designated Smoking Area,Designated Smoking Area,100 % smokefree in one location,1,"(7.514979999999999, 134.58251999999993)",LEG,600,600COMB
2017,1,CA,California,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(37.63864012300047, -120.99999953799971)",LEG,600,600COMB
2014,1,NM,New Mexico,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(34.52088095200048, -106.24058098499967)",LEG,600,600COMB
2017,4,MO,Missouri,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Designated Areas,Designated Areas,"No Law, designated areas, or separate ventilation Law",0,"(38.635790776000476, -92.56630005299968)",LEG,600,600COMB
2017,4,VA,Virginia,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,Separate Ventilated Areas,Separate Ventilated Areas,"No Law, designated areas, or separate ventilation Law",0,"(37.54268067400045, -78.45789046299967)",LEG,600,600COMB
2010,2,MO,Missouri,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Designated Areas,Designated Areas,"No Law, designated areas, or separate ventilation Law",0,"(38.635790776000476, -92.56630005299968)",LEG,600,600COMB
2018,2,PA,Pennsylvania,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Separate Ventilated Areas,None,100 % smokefree in one location,1,"(40.79373015200048, -77.86070029399963)",LEG,600,600COMB
2012,2,VA,Virginia,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,Separate Ventilated Areas,Separate Ventilated Areas,"No Law, designated areas, or separate ventilation Law",0,"(37.54268067400045, -78.45789046299967)",LEG,600,600COMB
2005,4,AZ,Arizona,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(34.865970280000454, -111.76381127699972)",LEG,600,600COMB
2011,2,CT,Connecticut,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,"No Law, designated areas, or separate ventilation Law",0,"(41.56266102000046, -72.64984095199964)",LEG,600,600COMB
2018,1,LA,Louisiana,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,None,100 % smokefree  in two locations,2,"(31.31266064400046, -92.44568007099969)",LEG,600,600COMB
2012,2,AR,Arkansas,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Designated Areas,None,100 % smokefree in one location,1,"(34.74865012400045, -92.27449074299966)",LEG,600,600COMB
2012,2,AS,American Samoa,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(-14.3016396, -170.69618149999997)",LEG,600,600COMB
2017,2,KS,Kansas,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(38.34774030000045, -98.20078122699965)",LEG,600,600COMB
2015,3,HI,Hawaii,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(21.304850435000446, -157.85774940299973)",LEG,600,600COMB
2017,4,WV,West Virginia,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(38.66551020200046, -80.71264013499967)",LEG,600,600COMB
1995,4,FL,Florida,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,Designated Areas,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(28.932040377000476, -81.92896053899966)",LEG,600,600COMB
2011,4,NY,New York,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(42.82700103200045, -75.54397042699964)",LEG,600,600COMB
2019,4,NC,North Carolina,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,Banned,Banned,100 % smokefree  in two locations,2,"(35.466220975000454, -79.15925046299964)",LEG,600,600COMB
2011,4,WV,West Virginia,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(38.66551020200046, -80.71264013499967)",LEG,600,600COMB
2016,2,WY,Wyoming,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(43.23554134300048, -108.10983035299967)",LEG,600,600COMB
2011,2,SD,South Dakota,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(44.353130053000484, -100.3735306369997)",LEG,600,600COMB
2009,2,NM,New Mexico,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(34.52088095200048, -106.24058098499967)",LEG,600,600COMB
2013,1,LA,Louisiana,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,None,100 % smokefree  in two locations,2,"(31.31266064400046, -92.44568007099969)",LEG,600,600COMB
2010,3,NC,North Carolina,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,Banned,Banned,100 % smokefree  in two locations,2,"(35.466220975000454, -79.15925046299964)",LEG,600,600COMB
1999,4,CA,California,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,"No Law, designated areas, or separate ventilation Law",0,"(37.63864012300047, -120.99999953799971)",LEG,600,600COMB
2013,3,PW,Palau,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Designated Smoking Area,Designated Smoking Area,100 % smokefree in one location,1,"(7.514979999999999, 134.58251999999993)",LEG,600,600COMB
2016,3,AL,Alabama,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Areas,None,None,"No Law, designated areas, or separate ventilation Law",0,"(32.84057112200048, -86.63186076199969)",LEG,600,600COMB
2014,4,WV,West Virginia,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,No Provision,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(38.66551020200046, -80.71264013499967)",LEG,600,600COMB
