Inventory ID,Prop ID,Feature,Type,Category,Sub-Category
60973,B151,Play Equipment,Swings,Structural Features,
3355,B152,Sidewalks,Concrete Flags,Structural Features,
60179,B073-ZN09,Paved Surfaces,Monument,Structural Features,
33892,Q096E,Benches,Wood Benches,Structural Features,
60528,B058-ZN02,Fences,Bollards,Structural Features,
10593,M031,Fences,Chain-Link,Structural Features,
31772,X182,Play Equipment,Exercise Equipment,Structural Features,
36203,M240,Fences,Ornamental,Structural Features,
25633,R019,Paved Surfaces,Concrete,Structural Features,
31468,X163,Sidewalks,Concrete Flags,Structural Features,
61550,R169-ZN02,Sidewalks,Concrete Curbs,Structural Features,
30304,X096,Horticultural Areas,Flowers,Landscape Features,
11691,M071-16,Horticultural Areas,Ornamental Grass,Landscape Features,
582,B032-ZN01,Lawns,Tree Lines,Landscape Features,
11434,M058-01,Fences,Chain-Link,Structural Features,
61663,Q015-ZN09,Horticultural Areas,Bushes,Landscape Features,
8996,M009,Fences,Wrought-Iron,Structural Features,
33713,XZ57,Paved Surfaces,Belgian Blocks,Structural Features,
37896,M283-03,Paved Surfaces,Stone/Slate/Granite,Structural Features,
2423,B088-02,Paved Surfaces,Stone/Slate/Granite,Structural Features,
33609,XZ363,Horticultural Areas,Bushes,Landscape Features,
34290,MZ244,Paved Surfaces,Plaque,Structural Features,
48623,Q426,Paved Surfaces,Concrete,Structural Features,
50334,R031-ZN02,Paved Surfaces,Concrete Pavers,Structural Features,
28997,X039-02,Safety Surface,Spectraturf New Sectional,Structural Features,
29951,X092-ZN02,Benches,Bleachers,Structural Features,
35510,XZ353,Horticultural Areas,Wild Flowers,Landscape Features,
862,B052-01,Benches,Wood Benches,Structural Features,
25814,R031-11,Play Equipment,Swings,Structural Features,
34084,BZ195,Paved Surfaces,Belgian Blocks,Structural Features,
5957,B285,Trees,>10,Landscape Features,
34095,BZ206,Horticultural Areas,Bushes,Landscape Features,
5086,B245-02,Fences,Wrought-Iron,Structural Features,
55849,B018-02,Lawns,Lawn,Landscape Features,
