Construction ID,Full Capital,Requirements,In-House,Unknown Parks,Non-Parks,Who Non-Parks,Sign Present,Area Clean,Fenced Off,Access,Workers Present,Comments,Inspection ID
2146776435,0,0,0,0,0,,0,0,0,0,0,,120329
2146776461,0,0,0,0,0,,1,1,1,1,1,,120609
2146776429,0,0,0,0,0,,1,1,1,1,1,,120237
2146776446,0,0,0,0,0,,1,1,0,1,0,,120470
2146776463,0,0,0,0,0,,1,1,1,1,1,,120617
2146776450,1,1,0,0,0,,1,0,1,1,0,,120494
2146776440,0,0,0,0,1,,0,0,1,0,0,,120398
2146776484,0,0,0,0,0,,1,1,1,1,0,,120703
2146776430,0,0,0,0,0,,1,1,1,1,0,,120273
2146776469,1,0,0,0,0,,1,0,0,0,0,Partial construction.,120539
2146776442,1,0,0,0,0,,1,1,1,1,1,,120425
2146776464,1,1,0,0,0,,1,0,1,1,1,,120629
2146776439,1,0,0,0,0,,0,0,1,0,1,,120368
2146776473,1,0,0,0,0,,1,1,1,1,0,Site under construction.,120704
2146776460,1,0,0,0,0,,1,1,1,1,0,Renovation of upper pathway,120587
2146776486,0,0,0,0,0,,0,0,0,0,0,,120724
2146776438,1,0,0,0,0,,1,1,1,1,1,,120364
2146776455,0,0,0,0,0,,1,0,1,1,0,,120522
2146776449,0,0,0,0,0,,0,1,0,1,0,,120480
2146776428,1,0,0,0,0,,1,0,1,0,0,Track & AF under renovation,120209
2146776432,0,0,0,0,0,,0,1,0,0,0,,120300
2146776447,0,0,0,0,0,,1,1,0,1,0,,120471
2146776444,0,0,0,0,0,,0,0,0,0,0,,120467
2146776491,0,0,0,0,0,,0,0,0,0,0,,120681
2146776467,0,0,0,0,0,,1,1,1,1,0,,120653
2146776498,1,0,0,0,0,,1,1,1,0,1,,120884
2146776502,0,0,0,0,0,,1,1,1,1,0,,120909
2146776482,1,0,0,0,0,,1,1,1,1,1,Site under construction - only perimeter inspected.,120759
2146776500,0,0,0,0,0,,0,0,1,1,0,,120885
2146776521,1,0,0,0,0,,1,1,1,1,1,Plgd under construction - perimeter inspected.,121087
2146776505,0,0,0,0,0,,0,0,0,0,0,,120931
2146776519,0,0,0,0,0,,0,0,0,0,0,,121075
2146776514,0,0,0,0,1,DOT,0,1,0,0,1,,121030
2146776513,1,0,0,0,0,,1,0,1,1,1,"Enire Park under construction. Only SW, waterfront bike path and waterfront park area are rated.",121006
2146776489,1,0,0,0,0,,1,0,1,0,1,Flatbush Av SW reconstruction,120835
2146776525,0,0,0,0,0,,0,0,0,1,0,Only External Features Rated,121168
2146776504,1,1,0,0,0,,1,0,1,0,0,,120915
2146776528,1,0,0,0,0,,1,1,1,1,0,,121239
2146776511,0,0,0,0,0,,1,1,1,1,0,,120977
2146776480,0,0,0,0,1,,0,1,1,1,0,DOT construction.,120735
2146776501,0,0,0,0,0,,1,1,1,1,0,,120907
2146776523,0,0,0,0,1,,0,1,1,0,1,,121118
2146776496,0,0,0,0,0,,0,1,1,1,0,,120861
2146776518,0,0,0,0,0,,0,0,0,0,0,,121068
2146776503,0,0,0,0,1,DOT,0,0,1,1,0,,120913
2146776529,1,0,0,0,0,,1,1,1,1,0,,121248
2146776527,0,0,0,0,0,,1,0,1,1,0,,121185
2146776485,0,0,0,0,0,,1,0,1,1,0,,120748
2146776510,0,0,0,0,1,MTA,1,1,0,0,1,,120975
2146776492,1,1,0,0,0,,1,0,1,0,0,,120836
2146776481,1,1,0,0,0,,1,0,1,0,0,,120740
2146776535,0,0,0,0,0,,0,0,0,0,0,,121227
2146776508,1,0,0,0,0,,1,1,1,1,0,Site under reconstruction.,120970
2146776509,1,0,0,0,0,,1,1,1,1,0,,120965
2146776506,1,0,0,0,0,,1,1,1,1,0,,120944
2146776526,1,0,0,0,0,,0,1,1,1,0,Renovation area corner of 85th Av & 184th St.,121171
2146775837,1,0,0,0,1,unknown,1,1,1,1,1,New pks building.,112287
2146776530,1,0,0,0,0,,1,1,1,1,0,,121254
2146776516,0,0,0,0,0,,1,0,0,0,0,,121059
2146776488,0,0,0,0,0,,1,1,1,1,0,,120829
2146776497,0,0,0,0,0,,1,0,1,1,0,,120883
2146776490,0,0,0,0,0,,0,0,0,0,0,,120819
2146776487,1,0,0,0,0,,1,1,1,1,1,CS under construction.,120812
2146776499,0,0,0,0,1,,0,1,1,1,1,DOT construction,120896
2146776512,0,0,0,0,0,,0,0,0,0,0,,120928
2146776495,0,0,0,0,0,,0,0,0,0,0,,120854
2146776524,0,0,0,0,0,,1,0,1,1,0,BBCT and HBCT are closed due to construction.,121139
2146776617,0,0,0,0,0,,1,0,1,0,0,Red Hook Soccer field #2 closed for remediation,119859
2146776483,1,0,0,0,0,,1,0,1,0,1,,120776
2146776517,0,0,0,0,0,,1,0,1,1,1,,121064
2146776520,0,0,0,0,0,,1,0,0,1,1,,121082
2146776493,0,0,0,0,0,,1,1,1,1,1,,120849
2146776515,0,0,0,0,0,,1,1,1,1,1,,121033
2146776522,0,0,0,0,0,,0,1,1,1,0,,121106
2146776507,0,0,0,0,0,,0,0,0,0,0,,120823
2146776494,0,0,0,0,0,,1,1,1,1,1,,120856
2146776542,0,0,0,0,1,DOT,0,0,0,0,0,,121410
2146776559,0,0,0,0,0,,0,0,0,0,0,,121616
2146776572,0,0,0,0,0,,0,0,0,0,0,,121800
2146776547,1,0,0,0,0,,1,1,1,1,0,,121507
2146776551,0,0,0,0,0,,0,0,1,1,0,,121572
2146776566,1,0,0,0,0,,0,0,0,0,0,,121738
2146776565,0,0,0,0,0,,1,1,1,1,1,,121717
2146776531,1,1,0,0,0,,1,0,1,0,1,,121274
2146776540,0,0,0,0,0,,0,0,0,0,0,,121389
2146776552,0,0,0,0,1,,0,0,0,0,1,Middle of central section closed due to work on Henry Hudson Bridge,121602
2146776538,0,0,0,0,0,,1,0,1,1,1,,121380
2146776548,0,0,0,0,0,,1,1,1,1,1,,121510
2146776550,0,0,0,0,0,,1,1,1,1,0,,121561
2146776539,0,0,0,0,0,,0,0,0,0,0,,121382
2146776564,0,0,0,0,0,,1,0,1,0,1,no access to HBCT,121712
2146776532,0,0,0,0,0,,0,0,0,0,0,,121280
2146776563,0,0,0,0,0,,1,0,1,0,1,,121711
2146776546,0,0,0,0,0,,1,1,1,1,0,,121487
2146776567,0,0,0,0,0,,0,0,0,0,0,,121739
2146776554,0,0,0,0,0,,1,1,1,1,1,,121609
